t_s,v_true_mps,v_raw_mps,v_iqr_mps,v_kalman_mps
0.232,1.27732580679128,1.32663338435839,1.26003427274271,1.26003427274271
0.272,1.28203449659085,1.32261595964237,1.26583726299454,1.26578037089631
0.312,1.28674192172335,1.28083742684639,1.27252477276971,1.2724586448267
0.352,1.2914478963477,1.28370015134566,1.27606325732624,1.27602791459065
0.392,1.29615223468006,1.3267525191021,1.28277269544723,1.28270656378773
0.432,1.30085475100123,1.29698397042947,1.2835725300415,1.28356403936009
0.472,1.3055552596639,1.29474937378948,1.28721009586615,1.28717434677771
0.512,1.31025357510005,1.32126237824733,1.29369903267603,1.29363505901768
0.552,1.31494951182822,1.31959383574908,1.2998669977444,1.29980589443228
0.592,1.31964288446088,1.29060154271789,1.30273785025737,1.30270910282904
0.632,1.3243335077117,1.30763927897767,1.30626285168832,1.30622800766381
0.672,1.32902119640292,1.31520608230803,1.31018964585423,1.31015080253027
0.712,1.33370576547262,1.32085461348605,1.31779780886451,1.31772283100684
0.752,1.33838702998202,1.35133425237324,1.32498406537209,1.32491286995614
0.792,1.34306480512282,1.33894009852763,1.32900827551356,1.32896812061875
0.832,1.34773890622446,1.36943690824529,1.3364546470778,1.33638124270349
0.872,1.35240914876144,1.34543845584824,1.34343128402626,1.34336215932938
0.912,1.35707534836059,1.36865360089373,1.34799471676837,1.34794929517237
0.952,1.36173732080832,1.34881763361776,1.35113834733531,1.35110707911233
0.992,1.36639488205795,1.36312962428872,1.35329454251301,1.35327309473171
1.032,1.37104784823694,1.37400923438213,1.35904642700764,1.35898982026944
1.072,1.37569603565414,1.35732074106096,1.36230880371333,1.3622762615318
1.112,1.38033926080709,1.37925150723772,1.36502271471603,1.36499578611587
1.152,1.38497734038919,1.37441534603281,1.37243267208368,1.37235975442764
1.192,1.38961009129702,1.40797023047357,1.37880703969845,1.37874382494274
1.232,1.39423733063749,1.34674834597577,1.37907294937346,1.37906972235316
1.272,1.39885887573512,1.41728220275703,1.38260032404284,1.38256570697318
1.312,1.40347454413922,1.39069073825035,1.38645501164351,1.38641687753988
1.352,1.40808415363111,1.42032557477034,1.39059985861464,1.39055884505379
1.392,1.4126875222313,1.38501671720732,1.39268170600581,1.39266089164274
1.432,1.41728446820668,1.42973285068032,1.39693086449782,1.39688899799439
1.472,1.42187481007769,1.39972266521518,1.40321859460268,1.40315653376831
1.512,1.4264583666255,1.41699604729004,1.40993026100778,1.40986384553294
1.552,1.43103495689913,1.44072987963518,1.41633676134926,1.41627329528953
1.592,1.43560440022265,1.45591470309009,1.42176575096599,1.42171189818466
1.632,1.44016651620226,1.45230759287232,1.42702936029988,1.42697722330663
1.672,1.44472112473342,1.45233856678368,1.43273535596105,1.43267889825306
1.712,1.44926804600799,1.44819147912227,1.43636664458402,1.43633048673252
