v_mps,method,snr_db,n_total,n_valid,invalid_rate,dt_bias_ns,dt_std_ns,dt_rmse_ns,dt_abs_mean_ns,dt_ci95_low_ns,dt_ci95_high_ns,dt_outlier_rate,v_bias_mps,v_std_mps,v_rmse_mps,v_abs_mean_mps,v_ci95_low_mps,v_ci95_high_mps,v_outlier_rate
0.1,integer_only,20,200,200,0,-2.05201009050144,0,2.05201009050144,2.05201009050144,-2.05201009050144,-2.05201009050144,0,-0.1,1.39126129260782e-17,0.1,0.1,-0.1,-0.1,0
0.1,parabolic_interp,20,200,200,0,0.0244758214688266,0.321299777934841,0.321428756338083,0.258975022702855,-0.602229129097324,0.627251323491952,0,0.00119277295867711,0.0156578069192791,0.015664092385605,0.0126205530811776,-0.029348253787103,0.0305676529757548,0
0.2,integer_only,20,200,200,0,-4.10402018100288,0,4.10402018100288,4.10402018100288,-4.10402018100288,-4.10402018100288,0,-0.2,2.78252258521564e-17,0.2,0.2,-0.2,-0.2,0
0.2,parabolic_interp,20,200,200,0,0.0331976924983374,0.501494931085281,0.501339971338735,0.395948307746136,-0.840037326261227,0.930932753568068,0,0.00161781331641627,0.0244392039496615,0.0244316523422273,0.0192956316140424,-0.0409372902282342,0.0453668701668315,0
0.3,integer_only,20,200,200,0,-6.15603027150433,8.01366504542104e-15,6.15603027150432,6.15603027150433,-6.15603027150432,-6.15603027150432,0,-0.3,2.78252258521564e-16,0.3,0.3,-0.3,-0.3,1
0.3,parabolic_interp,20,200,200,0,0.0500912626115784,0.722207907500871,0.72213951210173,0.589359081278361,-1.1676992727874,1.42668706863489,0,0.00244108266540435,0.0351951440611283,0.0351918109683985,0.0287210615584421,-0.0569051428252021,0.0695263183762539,0
0.4,integer_only,20,200,200,0,7.1765750226113,0,7.17657502261131,7.1765750226113,7.1765750226113,7.1765750226113,0,0.349572081827256,5.56504517043128e-17,0.349572081827256,0.349572081827256,0.349572081827256,0.349572081827256,1
0.4,parabolic_interp,20,200,200,0,-0.119903277378646,0.954262527542959,0.959395998814594,0.738271291230961,-2.42750304789038,1.29898607664887,0,-0.00584050722790509,0.0464822756415012,0.046732327822907,0.0359613090388899,-0.118244049761815,0.063273813155727,0
0.5,integer_only,20,200,200,0,5.12456493210987,7.12325781815203e-15,5.12456493210986,5.12456493210987,5.12456493210986,5.12456493210986,0,0.249618352226849,2.78252258521564e-16,0.249618352226849,0.249618352226849,0.249618352226849,0.249618352226849,1
0.5,parabolic_interp,20,200,200,0,-0.0573109725765714,0.630911596475502,0.631936502294418,0.509292259176152,-1.31329252387997,1.07747870304654,0,-0.00279162635825791,0.0307318016650022,0.0307817249863172,0.0248077048923448,-0.063970682418066,0.0524841546506204,0
0.6,integer_only,20,200,200,0,3.07255484160842,1.33561084090351e-15,3.07255484160842,3.07255484160842,3.07255484160842,3.07255484160842,0,0.149664622626442,1.39126129260782e-16,0.149664622626442,0.149664622626442,0.149664622626442,0.149664622626442,0
0.6,parabolic_interp,20,200,200,0,-0.0226394844199594,0.389373464111844,0.389058070648183,0.300426848727093,-0.893480155628951,0.655064195221246,0,-0.00110277279555305,0.0189664417955657,0.0189510789310601,0.0146338383721262,-0.0435215568833983,0.0319082784939193,0
0.7,integer_only,20,200,200,0,1.02054475110698,0,1.02054475110698,1.02054475110698,1.02054475110698,1.02054475110698,0,0.0497108930260354,6.9563064630391e-17,0.0497108930260354,0.0497108930260354,0.0497108930260354,0.0497108930260354,0
0.7,parabolic_interp,20,200,200,0,-0.00776301194168798,0.282366913356715,0.281767071788406,0.22573022017752,-0.549047142747698,0.499972913575444,0,-0.000378137515061872,0.0137541361206766,0.0137249177448999,0.0109953540163882,-0.0267441714337129,0.0243537581234973,0
0.8,integer_only,20,200,200,0,-1.03146533939446,0,1.03146533939446,1.03146533939446,-1.03146533939446,-1.03146533939446,0,-0.0502428365743719,6.9563064630391e-17,0.0502428365743718,0.0502428365743719,-0.0502428365743718,-0.0502428365743718,0
0.8,parabolic_interp,20,200,200,0,-0.0476911717468402,0.272732167433127,0.276198060890358,0.228884330433939,-0.488183450586436,0.472630969416118,0,-0.00232304436862957,0.0132848261532097,0.0134536503607765,0.0111489912159124,-0.0237794915537606,0.0230219277850883,0
0.9,integer_only,20,200,200,0,-3.0834754298959,1.78081445453801e-15,3.0834754298959,3.0834754298959,-3.0834754298959,-3.0834754298959,0,-0.150196566174779,1.11300903408626e-16,0.150196566174779,0.150196566174779,-0.150196566174779,-0.150196566174779,0
0.9,parabolic_interp,20,200,200,0,0.0163752271346778,0.367832160477791,0.367276658466152,0.295600428066637,-0.706578834919473,0.735758262611971,0,0.000797639852133878,0.0179171615563285,0.0178901029672305,0.0143987426735884,-0.0344175645791552,0.0358388990253021,0
1,integer_only,20,200,200,0,-5.13548552039734,0,5.13548552039734,5.13548552039734,-5.13548552039734,-5.13548552039734,0,-0.250150295775185,2.78252258521564e-16,0.250150295775186,0.250150295775185,-0.250150295775186,-0.250150295775186,1
1,parabolic_interp,20,200,200,0,0.13733335299792,0.673203338970824,0.685417516386261,0.508310980174538,-1.11337633630704,1.92759312511436,0,0.00668952891324077,0.0327918389977984,0.0333867934730834,0.0247599066400634,-0.0542327339314066,0.0938933599299223,0
1.1,integer_only,20,200,200,0,-7.18749561089879,6.23285059088303e-15,7.18749561089878,7.18749561089879,-7.18749561089878,-7.18749561089878,0,-0.350104025375593,1.66951355112938e-16,0.350104025375593,0.350104025375593,-0.350104025375593,-0.350104025375593,1
1.1,parabolic_interp,20,200,200,0,0.127486498557739,1.05074757682189,1.05584228233226,0.797653686091344,-1.55158565263276,2.90948145498837,0,0.00620988710705082,0.0511820773484954,0.0514302412436608,0.0388538346976935,-0.0755779776585933,0.141721292685379,0
1.2,integer_only,20,200,200,0,6.14510968320957,2.67122168180701e-15,6.14510968320957,6.14510968320957,6.14510968320957,6.14510968320957,0,0.299190808469906,1.66951355112938e-16,0.299190808469906,0.299190808469906,0.299190808469906,0.299190808469906,1
1.2,parabolic_interp,20,200,200,0,-0.0935884182440674,0.729125048397821,0.733296673625038,0.562981381285229,-1.80403313087029,1.08731216989959,0,-0.00455659800416046,0.0354993684330571,0.0357024749663342,0.0274102275310824,-0.087834092271184,0.0529386494207404,0
1.3,integer_only,20,200,200,0,4.09309959270812,1.78081445453801e-15,4.09309959270813,4.09309959270812,4.09309959270812,4.09309959270812,0,0.199283306469898,1.39126129260782e-16,0.199283306469898,0.199283306469898,0.199283306469898,0.199283306469898,0
1.3,parabolic_interp,20,200,200,0,-0.0614826729630135,0.474771734205033,0.477557617127746,0.371894317666156,-1.08384673895461,0.801805960586942,0,-0.00299344545158458,0.0231155091313638,0.0232511471601245,0.0181066518425081,-0.0527699258113047,0.039038029579759,0
1.4,integer_only,20,200,200,0,2.04108950220669,0,2.04108950220669,2.04108950220669,2.04108950220669,2.04108950220669,0,0.0993758044698897,8.34756775564691e-17,0.0993758044698895,0.0993758044698897,0.0993758044698896,0.0993758044698896,0
1.4,parabolic_interp,20,200,200,0,-0.00464819081393744,0.317065924108019,0.316306420907262,0.248792954846153,-0.693392525919345,0.565601576161303,0,-0.000226309380830192,0.0154371874649094,0.0154002090563236,0.012113138599531,-0.0337596367048801,0.0275377986020214,0
1.6,integer_only,20,200,200,0,-2.06293067879619,0,2.06293067879619,2.06293067879619,-2.06293067879619,-2.06293067879619,0,-0.100439199530127,1.39126129260782e-16,0.100439199530127,0.100439199530127,-0.100439199530127,-0.100439199530127,0
1.6,parabolic_interp,20,200,200,0,0.00551517871042421,0.321702698239695,0.320944824106317,0.257555723354219,-0.607695882108987,0.621337526446653,0,0.000268520964196857,0.015662940994572,0.0156260419014113,0.0125397770046234,-0.0295872704711522,0.0302514497630859,0
1.7,integer_only,20,200,200,0,-4.11494076929763,5.34244336361403e-15,4.11494076929763,4.11494076929763,-4.11494076929763,-4.11494076929763,0,-0.200346701530135,1.39126129260782e-16,0.200346701530135,0.200346701530135,-0.200346701530135,-0.200346701530135,1
1.7,parabolic_interp,20,200,200,0,0.134521466872147,0.49549465019433,0.512233734420899,0.399523351413193,-0.863650772228255,1.24147850992926,0,0.00654953101000107,0.0241244587365486,0.0249394450266189,0.0194518439334818,-0.0420491067042544,0.0604446426885826,0
1.8,integer_only,20,200,200,0,-6.16695085979907,3.56162890907602e-15,6.16695085979907,6.16695085979907,-6.16695085979907,-6.16695085979907,0,-0.300254203530143,2.22601806817251e-16,0.300254203530143,0.300254203530143,-0.300254203530143,-0.300254203530143,1
1.8,parabolic_interp,20,200,200,0,-0.0362039028629646,0.762074881513958,0.761028946224683,0.638806546663679,-1.43015615296008,1.45387376714007,0,-0.00176268212053701,0.0371036176193493,0.0370526935120611,0.0311019749044333,-0.0696309094061358,0.0707856637599733,0
1.9,integer_only,20,200,200,0,7.16565443431654,8.90407227269004e-15,7.16565443431655,7.16565443431654,7.16565443431655,7.16565443431655,0,0.34871743237974,3.33902710225877e-16,0.34871743237974,0.34871743237974,0.34871743237974,0.34871743237974,1
1.9,parabolic_interp,20,200,200,0,-0.171658735854832,1.07998027832485,1.09086769874172,0.849913207262682,-2.6293821565233,1.44536667100147,0,-0.00835379296637244,0.0525573697602012,0.0530872073804506,0.0413611281564042,-0.127959197973153,0.0703389423783953,0
2,integer_only,20,200,200,0,5.11364434381511,0,5.11364434381511,5.11364434381511,5.11364434381511,5.11364434381511,0,0.248856115240292,1.94776580965095e-16,0.248856115240292,0.248856115240292,0.248856115240292,0.248856115240292,1
2,parabolic_interp,20,200,200,0,-0.0696367884835012,0.604199142401323,0.606696466917681,0.481368292723273,-1.28116616867729,0.980212560868596,0,-0.00338888266266981,0.02940342372292,0.0295249563199977,0.0234258456929746,-0.0623481052412135,0.0477021618256517,0
