q,r,n_total,n_valid,invalid_rate,bias_mps,std_mps,rmse_mps,abs_mean_mps,ci95_low_mps,ci95_high_mps,outlier_rate,score
0.1,0.001,235,235,0,-0.0123780204278928,0.00575699355091053,0.0136461470944538,0.0124820714775155,-0.0227060836262874,-0.000149250608437875,0,0.0161217511800324
0.05,0.001,235,235,0,-0.012407888717873,0.00575099291170789,0.0136707308445006,0.012508904927998,-0.0226951724465036,-0.000156821121117364,0,0.0161523085880752
0.1,0.005,235,235,0,-0.0124942954849732,0.0057350035833531,0.0137425516985653,0.0125866239542391,-0.0227045374887526,-0.000183888543456232,0,0.01624141079556
0.01,0.001,235,235,0,-0.0126291424610074,0.00571361378680765,0.0138564679945476,0.0127084402440887,-0.0227782303528237,-0.000239299545848602,0,0.0163822964867491
0.05,0.005,235,235,0,-0.0126291425156364,0.00571361378971336,0.0138564680455309,0.0127084402987177,-0.0227782303528237,-0.000239299545848602,0,0.0163822965486582
0.1,0.01,235,235,0,-0.0126291425834786,0.00571361379332201,0.0138564681088457,0.0127084403665599,-0.0227782303528238,-0.000239299545848602,0,0.0163822966255414
0.005,0.001,235,235,0,-0.0128723617417928,0.00568385637096411,0.0140665008714646,0.0129316114246986,-0.0228935288322919,-0.000403523198126099,0,0.0166409732198231
0.05,0.01,235,235,0,-0.0128723621405963,0.00568385636911923,0.0140665012356704,0.0129316118235021,-0.0228935288323132,-0.000403523198126099,0,0.0166409736637896
0.01,0.005,235,235,0,-0.0134709640867215,0.00564449400692034,0.014601082501706,0.0135017095747134,-0.0231160653497603,-0.00117980897990325,0,0.0172952753190503
0.1,0.05,235,235,0,-0.0134709719354427,0.00564449310592135,0.0146010893961131,0.0135017174234346,-0.02311606537834,-0.00117980897990325,0,0.0172952837832017
0.001,0.001,235,235,0,-0.0142426021315724,0.00564142878224076,0.015314764300933,0.0142519949150284,-0.0233504607275533,-0.00191948456853125,0,0.0181632847272475
0.005,0.005,235,235,0,-0.0142426038407564,0.00564142846977595,0.0153147657758483,0.0142519966242124,-0.0233504607947713,-0.00191948456853125,0,0.0181632865439996
0.01,0.01,235,235,0,-0.0142426059751326,0.00564142807962803,0.015314767617695,0.0142519987585886,-0.0233504608787122,-0.00191948456853125,0,0.0181632888127215
0.05,0.05,235,235,0,-0.0142426229664402,0.0056414249756664,0.0153147822809458,0.0142520157498962,-0.0233504615469978,-0.00191948456853125,0,0.0181633068742338
0.1,0.1,235,235,0,-0.0142426439984741,0.00564142113827563,0.0153148004330263,0.0142520367819301,-0.0233504623743314,-0.00191948456853125,0,0.0181633292327211
0.0005,0.001,235,235,0,-0.0154103990653012,0.00570855987270916,0.0164295278172049,0.0154103990653012,-0.0248425854355814,-0.00344229606684853,0,0.0195116076302651
0.005,0.01,235,235,0,-0.0154104072255888,0.00570855826752508,0.0164295349159482,0.0154104072255888,-0.0248425954427517,-0.00344229606684853,0,0.019511616361066
0.05,0.1,235,235,0,-0.0154104882721233,0.00570854235814527,0.0164296054309005,0.0154104882721233,-0.0248426948583508,-0.00344229606684853,0,0.0195117030853251
0.001,0.005,235,235,0,-0.0178234897913901,0.00604430032767516,0.0188163464256487,0.0178234897913901,-0.0270803435328326,-0.00535376294469827,0,0.0223810443839267
0.01,0.05,235,235,0,-0.0178235808953278,0.0060442869953747,0.0188164284580171,0.0178235808953278,-0.0270803491589821,-0.00535376294469827,0,0.0223811446370827
0.1,0.5,235,235,0,-0.0178244737868024,0.00604415941577233,0.0188172334333004,0.0178244737868024,-0.0270804044029329,-0.00535376294469827,0,0.0223821281906609
0.0001,0.001,235,235,0,-0.0205879533114495,0.00664894697860173,0.0216306309713662,0.0205879533114495,-0.0305776720901217,-0.0073152185594607,0,0.0257482216336561
0.0005,0.005,235,235,0,-0.0205879665556526,0.00664894538512406,0.0216306430894218,0.0205879665556526,-0.0305776744609254,-0.0073152185594607,0,0.0257482364005523
0.001,0.01,235,235,0,-0.0205879831065606,0.00664894339516594,0.0216306582334349,0.0205879831065606,-0.030577677423772,-0.0073152185594607,0,0.0257482548547471
0.005,0.05,235,235,0,-0.0205881153402354,0.00664892755086625,0.0216307792434671,0.0205881153402354,-0.0305777011002542,-0.0073152185594607,0,0.0257484023115142
0.01,0.1,235,235,0,-0.0205882801995967,0.00664890793297411,0.0216309301517175,0.0205882801995967,-0.0305777306302839,-0.0073152185594607,0,0.0257485861916368
0.05,0.5,235,235,0,-0.0205895820169034,0.00664875830119364,0.0216321234278035,0.0205895820169034,-0.0305779642789373,-0.0073152185594607,0,0.0257500398311842
0.1,1,235,235,0,-0.0205911678280256,0.00664858866724719,0.0216335809057135,0.0205911678280256,-0.03057825000903,-0.0073152185594607,0,0.0257518144713186
0.0005,0.01,235,235,0,-0.0245074015999952,0.00773918951749855,0.0256953870373525,0.0245074015999952,-0.0356150450890152,-0.00955206940773269,0,0.0305968673573516
0.005,0.1,235,235,0,-0.0245078529221542,0.00773912215657391,0.0256957972920318,0.0245078529221542,-0.0356160173984115,-0.00955206940773269,0,0.0305973678764627
0.05,1,235,235,0,-0.0245122721894807,0.00773850605078204,0.0256998275525764,0.0245122721894807,-0.0356255825496141,-0.00955206940773269,0,0.0306022819904725
0.0001,0.005,235,235,0,-0.0322275642734213,0.0102317645564733,0.0338062038656361,0.0322275642734213,-0.0459021298403265,-0.013615712264486,0,0.0402517167203203
0.001,0.05,235,235,0,-0.032227934221088,0.0102316730077835,0.0338065289483739,0.032227934221088,-0.0459021459797119,-0.013615712264486,0,0.0402521157925915
0.01,0.5,235,235,0,-0.0322316066135153,0.010230781946198,0.033809761379635,0.0322316066135153,-0.0459023065692783,-0.013615712264486,0,0.0402560827023381
0.0001,0.01,235,235,0,-0.040773849831969,0.0131160757488487,0.0428229637516563,0.040773849831969,-0.0582978379623637,-0.0156606871803568,0,0.0509777337180501
0.0005,0.05,235,235,0,-0.0407743211354602,0.0131159275101739,0.042823367293607,0.0407743211354602,-0.0582979703799162,-0.0156606871803583,0,0.0509782315206991
0.001,0.1,235,235,0,-0.0407749096600477,0.0131157428726377,0.0428238713493957,0.0407749096600477,-0.058298135797521,-0.0156606871803601,0,0.0509788532814052
0.005,0.5,235,235,0,-0.0407795938413393,0.0131142918859044,0.0428278889971445,0.0407795938413393,-0.0582994549791696,-0.0156606871803755,0,0.0509838077654123
0.01,1,235,235,0,-0.0407853898645155,0.0131125419286849,0.0428328743834909,0.0407853898645155,-0.0583010936270168,-0.0156606871803937,0,0.050989952356394
0.0005,0.1,235,235,0,-0.0525066367909576,0.0169828175399382,0.0551736866284549,0.0525066367909576,-0.0748857858614959,-0.0196611021239232,0,0.0656750139866464
0.005,1,235,235,0,-0.0525217122369936,0.0169774837900558,0.0551863994152562,0.0525217122369936,-0.0748943088572403,-0.019701647690648,0,0.0656907418626549
0.0001,0.05,235,235,0,-0.0743234333276244,0.0236779854433398,0.0779886786935687,0.0743234333276244,-0.102999231392997,-0.0253193150797854,0,0.0928533653590936
0.001,0.5,235,235,0,-0.0743356661787205,0.0236730223722164,0.0779988366746889,0.0743356661787205,-0.103008757186352,-0.0253906703612482,0,0.092865969910433
0.0001,0.1,235,235,0,-0.0962500927618286,0.0300176665077267,0.100803305303298,0.0962500927618286,-0.130964127012482,-0.0253774792679898,0,0.120053323855663
0.0005,0.5,235,235,0,-0.0962656547592733,0.0300109521519183,0.100816174055842,0.0962656547592733,-0.130975188054619,-0.0254416008945567,0,0.120069305007696
0.001,1,235,235,0,-0.0962850274735083,0.0300026830097522,0.100832222186509,0.0962850274735083,-0.130988987623504,-0.0255210411777079,0,0.12008922768121
0.0005,1,235,235,0,-0.122085086623307,0.0379340313770426,0.127818761328291,0.122085086623307,-0.16219185875449,-0.0255471705931262,0,0.152235778652952
0.0001,0.5,235,235,0,-0.156951114663837,0.0519055032277336,0.165276644019704,0.156951114663837,-0.207534483046324,-0.0254827337092115,0.221276595744681,0.196666866952472
0.0001,1,235,235,0,-0.178842089378549,0.0635819759296736,0.189762898785002,0.178842089378549,-0.237430668069961,-0.0255681746349125,0.527659574468085,0.225531316660711
