q,r,n_total,n_valid,invalid_rate,bias_mps,std_mps,rmse_mps,abs_mean_mps,ci95_low_mps,ci95_high_mps,outlier_rate,mean_lag_s,max_lag_s,valid_step_count,score
0.1,0.001,195,195,0,-0.00128770364673024,0.233765264009479,0.233168651241781,0.0713655034788383,-0.595049751550055,0.584097447794553,0.102564102564103,0.2,0.2,4,0
0.05,0.001,195,195,0,-0.00129266272870175,0.234065230799971,0.233467870745919,0.0715524111547529,-0.597370639250895,0.587294851691605,0.102564102564103,0.2,0.2,4,0.00103719750224822
0.1,0.005,195,195,0,-0.00130700927722948,0.234930542224622,0.234331026971053,0.0720942111075077,-0.604196435919087,0.59621624845732,0.102564102564103,0.2,0.2,4,0.00402919323907672
0.1,0.01,195,195,0,-0.00132940030565997,0.236271862635795,0.235669008229175,0.0729275833199587,-0.614556408642761,0.609234732514502,0.102564102564103,0.2,0.2,4,0.00866709551410673
0.05,0.005,195,195,0,-0.0013294003466148,0.236271862635998,0.235669008229608,0.0729275833609135,-0.614556408642761,0.609234732514502,0.102564102564103,0.2,0.2,4,0.00866709551560819
0.01,0.001,195,195,0,-0.00132940037959312,0.236271862636161,0.235669008229957,0.0729275833938918,-0.614556408642761,0.609234732514503,0.102564102564103,0.2,0.2,4,0.00866709551681717
0.05,0.01,195,195,0,-0.00136979453526373,0.238656124312394,0.238047340110411,0.0744489592345966,-0.630381912210712,0.630280075864005,0.102564102564103,0.2,0.2,4,0.0169112101276782
0.005,0.001,195,195,0,-0.00136979476857605,0.238656124313302,0.238047340112659,0.0744489594679051,-0.630381912210712,0.630280075864005,0.102564102564103,0.2,0.2,4,0.0169112101354711
0.1,0.05,195,195,0,-0.00146925264526633,0.244297129596169,0.243674351077704,0.0781961413267422,-0.669972090841967,0.671781260339638,0.102564102564103,0.21,0.24,4,0.044749694828728
0.01,0.005,195,195,0,-0.00146925677768814,0.244297129605109,0.243674351111538,0.078196145456725,-0.669972090841966,0.671781260339638,0.102564102564103,0.21,0.24,4,0.0447496949460082
0.1,0.1,195,195,0,-0.00159748580858659,0.251090575528776,0.250451020786504,0.0830735958844739,-0.71704561572324,0.710615720310288,0.102564102564103,0.24,0.24,4,0.0932399579910815
0.05,0.05,195,195,0,-0.00159749544333416,0.251090575536938,0.2504510208561,0.0830736054784463,-0.71704561572324,0.710615720310288,0.102564102564103,0.24,0.24,4,0.0932399582323259
0.01,0.01,195,195,0,-0.00159750322735222,0.251090575543556,0.250451020912351,0.083073613229528,-0.71704561572324,0.710615720310288,0.102564102564103,0.24,0.24,4,0.0932399584273106
0.005,0.005,195,195,0,-0.00159750420516799,0.251090575544389,0.250451020919418,0.0830736142032067,-0.71704561572324,0.710615720310288,0.102564102564103,0.24,0.24,4,0.0932399584518094
0.001,0.001,195,195,0,-0.00159750498819492,0.251090575545056,0.250451020925078,0.0830736149829208,-0.71704561572324,0.710615720310288,0.102564102564103,0.24,0.24,4,0.0932399584714284
0.05,0.1,195,195,0,-0.00179151354848566,0.260518658862821,0.259855979342378,0.0904978557901872,-0.775994785620273,0.750886228664797,0.117948717948718,0.28,0.28,4,0.159174105736492
0.005,0.01,195,195,0,-0.0017915448589101,0.260518658849347,0.259855979544803,0.0904978869767619,-0.775994785620273,0.750886228664797,0.117948717948718,0.28,0.28,4,0.159174106438167
0.0005,0.001,195,195,0,-0.00179154801178528,0.260518658848003,0.2598559795652,0.0904978901171704,-0.775994785620273,0.750886228664797,0.117948717948718,0.28,0.28,4,0.159174106508868
0.1,0.5,195,195,0,-0.00219254471637656,0.277789025788761,0.277084505547674,0.105739704780112,-0.796718018009987,0.799264198777437,0.138461538461538,0.33,0.36,4,0.260560757565839
0.01,0.05,195,195,0,-0.0021928183710115,0.277789025126007,0.277084507052181,0.105739968968878,-0.796718018009987,0.799264198777437,0.138461538461538,0.33,0.36,4,0.260560762780979
0.001,0.005,195,195,0,-0.00219284632038151,0.277789025058921,0.27708450720646,0.105739995954225,-0.796718018009987,0.799264198777437,0.138461538461538,0.33,0.36,4,0.26056076331576
0.1,1,195,195,0,-0.00265797022841739,0.295342751055344,0.294596479461797,0.123169646228352,-0.79710566660652,0.829134461825473,0.164102564102564,0.42,0.44,4,0.396263269774877
0.05,0.5,195,195,0,-0.002658378079983,0.295342749275809,0.294596481366989,0.12317001519385,-0.79710566660652,0.829134461825473,0.164102564102564,0.42,0.44,4,0.396263276378927
0.01,0.1,195,195,0,-0.0026587136866096,0.295342747824684,0.294596482948285,0.123170319001882,-0.79710566660652,0.829134461825472,0.164102564102564,0.42,0.44,4,0.39626328186024
0.005,0.05,195,195,0,-0.00265875623864352,0.29534274764155,0.294596483149661,0.123170357534972,-0.79710566660652,0.829134461825472,0.164102564102564,0.42,0.44,4,0.396263282558278
0.001,0.01,195,195,0,-0.00265879037803154,0.295342747494762,0.294596483311368,0.123170388452061,-0.79710566660652,0.829134461825472,0.164102564102564,0.42,0.44,4,0.396263283118811
0.0005,0.005,195,195,0,-0.00265879465158442,0.295342747476396,0.294596483331619,0.123170392322379,-0.79710566660652,0.829134461825472,0.164102564102564,0.42,0.44,4,0.39626328318901
0.0001,0.001,195,195,0,-0.002658798071409,0.2953427474617,0.294596483347827,0.123170395419544,-0.79710566660652,0.829134461825472,0.164102564102564,0.42,0.44,4,0.39626328324519
0.05,1,195,195,0,-0.00338260451492462,0.317807281001172,0.317009390437002,0.148664518460675,-0.809287031992571,0.849521937821124,0.205128205128205,0.53,0.56,4,0.565620778649528
0.005,0.1,195,195,0,-0.00338354274461728,0.317807275063924,0.317009394527973,0.148665335351193,-0.809287032306862,0.84952193782085,0.205128205128205,0.53,0.56,4,0.565620792830235
0.0005,0.01,195,195,0,-0.00338363889325191,0.31780727445941,0.317009394951285,0.148665419164958,-0.809287032338809,0.849521937820822,0.205128205128205,0.53,0.56,4,0.565620794297581
0.01,0.5,195,195,0,-0.00554617403174915,0.356516216161951,0.355644145193381,0.19829694272904,-0.864606274225328,0.88555201099654,0.292307692307692,0.76,0.760000000000001,4,0.891208765881941
0.001,0.05,195,195,0,-0.00554672841141437,0.356516208413497,0.355644146111593,0.198297430357783,-0.864606254907907,0.885552011035757,0.292307692307692,0.76,0.760000000000001,4,0.891208769064778
0.0001,0.005,195,195,0,-0.0055467844073967,0.356516207632554,0.355644146206084,0.198297479644414,-0.86460625296649,0.885552011039698,0.292307692307692,0.76,0.760000000000001,4,0.891208769392315
0.0001,0.01,195,195,0,-0.00982902503210453,0.391867442771025,0.390984929098415,0.248600687489368,-0.948064290900033,0.881207365323116,0.384615384615385,1.04,1.04,4,1.24704538622292
0.0005,0.05,195,195,0,-0.00982897992720096,0.391867450124677,0.390984935296973,0.248600644623043,-0.94806433883045,0.881207362273094,0.384615384615385,1.04,1.04,4,1.24704540770925
0.001,0.1,195,195,0,-0.00982892364989242,0.391867459309688,0.390984943040755,0.248600591141902,-0.948064398705698,0.881207358462971,0.384615384615385,1.04,1.04,4,1.24704543455186
0.005,0.5,195,195,0,-0.00982847753600695,0.391867532509116,0.39098500481463,0.248600167315422,-0.948064876201854,0.881207328077773,0.384615384615385,1.04,1.04,4,1.24704564868131
0.01,1,195,195,0,-0.00982792992737088,0.391867623314115,0.39098508159262,0.248599647362787,-0.948065469332397,0.881207290334178,0.384615384615385,1.04,1.04,4,1.24704591482018
0.0005,0.1,195,195,0,-0.0188598128719047,0.428432213535703,0.427748232893919,0.3041792028423,-1.01301428524516,0.835914397740606,0.502564102564103,1.4,1.44,3,1.67447961542146
0.005,1,195,195,0,-0.0188601583974574,0.428433571549696,0.427749601338737,0.304179174279846,-1.0130214604987,0.835912996715534,0.502564102564103,1.4,1.44,3,1.67448435892088
0.0001,0.05,195,195,0,-0.0407598273936683,0.469029478992855,0.469597560427325,0.367998719127265,-1.07200137984738,0.768632217049082,0.692307692307692,NaN,NaN,0,NaN
0.001,0.5,195,195,0,-0.040765358652788,0.469033411708351,0.469601948369097,0.368001429939849,-1.07201592990799,0.768632008918717,0.692307692307692,NaN,NaN,0,NaN
0.0001,0.1,195,195,0,-0.0637367992724227,0.489198741579177,0.492087928969679,0.398859368879619,-1.09893289571991,0.726378041910037,0.743589743589744,NaN,NaN,0,NaN
0.0005,0.5,195,195,0,-0.0637518612708079,0.489205956538404,0.492097015862628,0.398864225552051,-1.09895515734624,0.726376056353376,0.743589743589744,NaN,NaN,0,NaN
0.001,1,195,195,0,-0.0637706599750448,0.489214956146823,0.492108352426803,0.398870292525304,-1.09898292387006,0.726373579181713,0.743589743589744,NaN,NaN,0,NaN
0.0005,1,195,195,0,-0.0885806680293808,0.500349644226859,0.506865323602018,0.415003483106507,-1.11478448571065,0.676722579970903,0.769230769230769,NaN,NaN,0,NaN
0.0001,0.5,195,195,0,-0.11708414838757,0.505477008209532,0.517595799146902,0.422707151802073,-1.1251959912574,0.61221045170797,0.784615384615385,NaN,NaN,0,NaN
0.0001,1,195,195,0,-0.132338344192732,0.505890437662836,0.521657105456298,0.424080709233448,-1.12891484443775,0.573173369357774,0.78974358974359,NaN,NaN,0,NaN
